Image Sticker,Slice Index,Model,IoU,Dice
lung_025,219,EfficientSAM (VIT-tiny),0.2346491228070175,0.3801065719360568
lung_025,219,EfficientSAM (VIT-small),0.2559808612440191,0.4076190476190476
lung_025,220,EfficientSAM (VIT-tiny),0.3146853146853147,0.4787234042553192
lung_025,220,EfficientSAM (VIT-small),0.2903225806451613,0.45
lung_025,221,EfficientSAM (VIT-tiny),0.0180722891566265,0.0355029585798816
lung_025,221,EfficientSAM (VIT-small),0.0520231213872832,0.0989010989010989
lung_025,222,EfficientSAM (VIT-tiny),0.1872399445214979,0.3154205607476635
lung_025,222,EfficientSAM (VIT-small),0.199442119944212,0.3325581395348837
lung_025,223,EfficientSAM (VIT-tiny),0.1335149863760218,0.235576923076923
lung_025,223,EfficientSAM (VIT-small),0.1426701570680628,0.2497136311569301
lung_025,224,EfficientSAM (VIT-tiny),0.3391376451077943,0.5065015479876162
lung_025,224,EfficientSAM (VIT-small),0.4099318403115871,0.5814917127071824
lung_025,225,EfficientSAM (VIT-tiny),0.3763440860215054,0.546875
lung_025,225,EfficientSAM (VIT-small),0.1349036402569593,0.2377358490566037
lung_025,226,EfficientSAM (VIT-tiny),0.2942408376963351,0.4546925566343042
lung_025,226,EfficientSAM (VIT-small),0.2046332046332046,0.3397435897435897
lung_025,227,EfficientSAM (VIT-tiny),0.1811023622047244,0.3066666666666666
lung_025,227,EfficientSAM (VIT-small),0.195906432748538,0.3276283618581907
lung_025,228,EfficientSAM (VIT-tiny),0.3240641711229946,0.4894991922455573
lung_025,228,EfficientSAM (VIT-small),0.1521531100478469,0.2641196013289036
lung_025,229,EfficientSAM (VIT-tiny),0.3124312431243124,0.4761106454316848
lung_025,229,EfficientSAM (VIT-small),0.3604183427192277,0.5298639858072147
lung_025,230,EfficientSAM (VIT-tiny),0.3769063180827887,0.5474683544303798
lung_025,230,EfficientSAM (VIT-small),0.3200579290369297,0.4849149753154141
lung_025,231,EfficientSAM (VIT-tiny),0.3122406639004149,0.4758893280632411
lung_025,231,EfficientSAM (VIT-small),0.266420664206642,0.4207459207459207
lung_025,232,EfficientSAM (VIT-tiny),0.3343621399176955,0.5011565150346955
lung_025,232,EfficientSAM (VIT-small),0.3112244897959184,0.4747081712062256
lung_025,233,EfficientSAM (VIT-tiny),0.1790890269151138,0.3037752414398595
lung_025,233,EfficientSAM (VIT-small),0.1682650392327811,0.2880597014925373
lung_025,234,EfficientSAM (VIT-tiny),0.2196452933151432,0.3601789709172259
lung_025,234,EfficientSAM (VIT-small),0.1654676258992805,0.2839506172839506
lung_025,235,EfficientSAM (VIT-tiny),0.1712802768166089,0.2924667651403249
lung_025,235,EfficientSAM (VIT-small),0.1376912378303199,0.2420537897310513
lung_025,236,EfficientSAM (VIT-tiny),0.1365461847389558,0.2402826855123674
lung_025,236,EfficientSAM (VIT-small),0.0894736842105263,0.1642512077294686
lung_025,237,EfficientSAM (VIT-tiny),0.113871635610766,0.2044609665427509
lung_025,237,EfficientSAM (VIT-small),0.0726552179656539,0.1354679802955665
lung_071,149,EfficientSAM (VIT-tiny),0.074074074074074,0.1379310344827586
lung_071,149,EfficientSAM (VIT-small),0.057347670250896,0.1084745762711864
lung_071,150,EfficientSAM (VIT-tiny),0.149584487534626,0.2602409638554216
lung_071,150,EfficientSAM (VIT-small),0.1168831168831168,0.2093023255813953
lung_071,151,EfficientSAM (VIT-tiny),0.2039045553145336,0.3387387387387387
lung_071,151,EfficientSAM (VIT-small),0.2034632034632034,0.3381294964028777
lung_071,152,EfficientSAM (VIT-tiny),0.2665369649805447,0.4208909370199692
lung_071,152,EfficientSAM (VIT-small),0.2005856515373353,0.3341463414634146
lung_071,153,EfficientSAM (VIT-tiny),0.267071320182094,0.4215568862275449
lung_071,153,EfficientSAM (VIT-small),0.1984216459977452,0.3311382878645343
lung_071,154,EfficientSAM (VIT-tiny),0.2644628099173554,0.4183006535947712
lung_071,154,EfficientSAM (VIT-small),0.2214285714285714,0.3625730994152046
lung_071,155,EfficientSAM (VIT-tiny),0.2636579572446555,0.4172932330827067
lung_071,155,EfficientSAM (VIT-small),0.2322175732217573,0.3769100169779287
lung_071,156,EfficientSAM (VIT-tiny),0.3011363636363636,0.462882096069869
lung_071,156,EfficientSAM (VIT-small),0.2550529355149182,0.406441717791411
lung_071,157,EfficientSAM (VIT-tiny),0.2365482233502538,0.3825944170771757
lung_071,157,EfficientSAM (VIT-small),0.2241379310344827,0.3661971830985915
lung_071,158,EfficientSAM (VIT-tiny),0.3179791976225854,0.4825253664036076
lung_071,158,EfficientSAM (VIT-small),0.2791208791208791,0.436426116838488
lung_071,159,EfficientSAM (VIT-tiny),0.2948929159802306,0.455470737913486
lung_071,159,EfficientSAM (VIT-small),0.2925170068027211,0.4526315789473684
lung_071,160,EfficientSAM (VIT-tiny),0.1228615863141524,0.2188365650969529
lung_071,160,EfficientSAM (VIT-small),0.1359060402684563,0.2392909896602658
lung_071,161,EfficientSAM (VIT-tiny),0.2103250478011472,0.3475513428120063
lung_071,161,EfficientSAM (VIT-small),0.1812865497076023,0.3069306930693069
lung_071,162,EfficientSAM (VIT-tiny),0.3434782608695652,0.511326860841424
lung_071,162,EfficientSAM (VIT-small),0.1791666666666666,0.303886925795053
lung_071,163,EfficientSAM (VIT-tiny),0.1199143468950749,0.2141491395793499
lung_071,163,EfficientSAM (VIT-small),0.1072088724584103,0.1936560934891485
lung_071,164,EfficientSAM (VIT-tiny),0.1901840490797546,0.3195876288659793
lung_071,164,EfficientSAM (VIT-small),0.0921052631578947,0.1686746987951807
lung_074,259,EfficientSAM (VIT-tiny),0.0352941176470588,0.0681818181818181
lung_074,259,EfficientSAM (VIT-small),0.0229591836734693,0.0448877805486284
lung_074,261,EfficientSAM (VIT-tiny),0.0092592592592592,0.018348623853211
lung_074,261,EfficientSAM (VIT-small),0.0061823802163833,0.0122887864823348
lung_074,262,EfficientSAM (VIT-tiny),0.0060240963855421,0.0119760479041916
lung_074,262,EfficientSAM (VIT-small),0.0042016806722689,0.00836820083682
lung_074,263,EfficientSAM (VIT-tiny),0.0026560424966799,0.0052980132450331
lung_074,263,EfficientSAM (VIT-small),0.0021482277121374,0.0042872454448017
lung_074,265,EfficientSAM (VIT-tiny),0.0253164556962025,0.0493827160493827
lung_074,265,EfficientSAM (VIT-small),0.0125786163522012,0.0248447204968944
lung_074,266,EfficientSAM (VIT-tiny),0.0057471264367816,0.0114285714285714
lung_074,266,EfficientSAM (VIT-small),0.0036764705882352,0.0073260073260073
lung_074,267,EfficientSAM (VIT-tiny),0.0204081632653061,0.04
lung_074,267,EfficientSAM (VIT-small),0.0068259385665529,0.0135593220338983
lung_074,268,EfficientSAM (VIT-tiny),0.0072992700729927,0.0144927536231884
lung_074,268,EfficientSAM (VIT-small),0.0031645569620253,0.0063091482649842
lung_074,271,EfficientSAM (VIT-tiny),0.232409381663113,0.3771626297577855
lung_074,271,EfficientSAM (VIT-small),0.2238586156111929,0.3658243080625752
lung_074,272,EfficientSAM (VIT-tiny),0.1919720767888307,0.322108345534407
lung_074,272,EfficientSAM (VIT-small),0.2548015364916773,0.4061224489795918
lung_074,273,EfficientSAM (VIT-tiny),0.1852433281004709,0.3125827814569536
